ID,NL Name,demographic
0,Bad Essen,15753
1,Bad Iburg,11519
2,Bad Laer,9248
3,Bad Rothenfelde,8477
4,Belm,13829
5,Bissendorf,14653
6,Bohmte,12655
7,Bramsche,31230
8,Dissen a.T.W.,10070
9,Georgsmarienhütte,31825
10,Glandorf,6626
11,Hagen a.T.W.,13463
12,Hasbergen,11035
13,Hilter a.T.W.,10416
14,Melle,46648
15,Ostercappeln,9892
16,Wallenhorst,23071
17,Badbergen,4599
18,Menslage,2445
19,Nortrup,3011
20,Quakenbrück,13441
21,Alfhausen,4045
22,Ankum,7677
23,Bersenbrück,8701
24,Eggermühlen,1721
25,Gehrde,2537
26,Kettenkamp,1765
27,Rieste,3599
28,Berge,3564
29,Bippen,2961
30,Fürstenau,9412
31,Merzen,3870
32,Neuenkirchen,4621
33,Voltlage,1759
34,Osnabrück,163913
35,Landkreis Osnabrück,359130
36,Landkreis+Stadt,523043
