         mean    sd  hdi_3%  hdi_97%  ...  ess_sd  ess_bulk  ess_tail  r_hat
phi_0   -0.54  0.06   -0.66    -0.43  ...   70.27     68.12     62.55    NaN
phi_1    1.97  0.17    1.69     2.30  ...   61.58     63.53    110.42    NaN
phi_2   -0.03  0.00   -0.03    -0.02  ...   57.85     59.64    109.98    NaN
mu[0]   60.73  3.01   54.65    65.68  ...   68.86     70.16     70.45    NaN
mu[1]   56.31  2.61   51.97    61.55  ...   70.66     74.93     81.17    NaN
mu[2]   42.70  1.73   39.06    45.38  ...   69.23     71.00    110.01    NaN
mu[3]   42.30  1.78   38.62    44.99  ...   67.20     69.36    110.01    NaN
mu[4]   40.36  1.71   36.60    42.80  ...   68.21     70.20     91.06    NaN
mu[5]   21.86  2.34   17.71    25.79  ...   86.38     89.24    139.84    NaN
mu[6]   39.45  1.81   35.64    42.15  ...   65.31     66.77     95.35    NaN
mu[7]   49.16  1.89   45.99    53.00  ...   75.89     81.58    102.64    NaN
mu[8]   46.46  1.58   43.35    49.04  ...   77.96     79.66     88.81    NaN
mu[9]   32.52  1.20   30.52    34.76  ...  159.05    149.09    183.16    NaN
mu[10]  33.61  1.24   31.43    35.85  ...  118.48    114.67    162.65    NaN
mu[11]  28.77  1.52   26.05    31.32  ...   93.39     81.40     90.65    NaN
mu[12]  24.84  1.70   21.99    27.94  ...   83.87     77.66     90.65    NaN
mu[13]  26.72  1.64   24.05    29.72  ...   81.93     74.18     90.65    NaN
mu[14]  35.17  1.78   32.11    38.62  ...   68.67     69.04    120.26    NaN
mu[15]  32.78  1.64   30.33    36.14  ...   73.33     72.87    105.56    NaN
mu[16]  34.41  1.52   31.88    37.34  ...   77.25     76.76    144.29    NaN
mu[17]  25.44  1.64   22.77    28.62  ...   97.19     91.16     76.18    NaN
mu[18]  30.64  1.35   28.19    32.91  ...  120.34    116.82     88.52    NaN
mu[19]  37.20  1.42   34.61    39.67  ...   80.33     79.84    139.20    NaN
mu[20]  34.97  1.34   32.55    37.26  ...   88.69     88.38    162.36    NaN
mu[21]  47.79  2.04   44.07    51.36  ...   67.91     67.22     63.99    NaN
mu[22]  47.52  1.96   43.92    50.91  ...   68.78     67.94     63.99    NaN
mu[23]  38.15  1.13   36.31    40.33  ...  116.45    114.95    165.49    NaN
mu[24]  35.28  1.04   33.25    37.08  ...  189.77    192.40    240.09    NaN
mu[25]  26.39  1.59   23.61    29.31  ...  122.37    122.67    149.48    NaN
mu[26]  34.36  1.09   32.27    36.35  ...  189.22    185.78    152.62    NaN
mu[27]  36.19  1.15   34.03    38.33  ...  149.47    146.50    237.22    NaN
mu[28]  45.00  1.48   41.65    47.34  ...   85.38     88.14    143.84    NaN
mu[29]  49.56  2.02   44.94    52.50  ...   74.32     80.29    104.58    NaN
mu[30]  38.15  1.35   35.63    40.59  ...   91.05     91.35    149.87    NaN
mu[31]  35.56  1.25   33.26    37.73  ...  113.74    113.65    193.89    NaN
mu[32]  22.39  2.13   18.68    25.94  ...   93.28     95.02    139.27    NaN
mu[33]  33.62  1.39   31.29    35.96  ...  101.59    106.10    113.23    NaN
mu[34]  32.82  1.11   30.93    35.03  ...  186.21    182.26    149.49    NaN
mu[35]  51.13  2.08   47.12    54.53  ...   70.05     70.44     78.31    NaN
